tensor(0.0022, device='cuda:0')
tensor(0.2006, device='cuda:0')
tensor(0.3840, device='cuda:0')
tensor(0.0375, device='cuda:0')
tensor(0.2614, device='cuda:0')
tensor(0.3546, device='cuda:0')
tensor(0.1110, device='cuda:0')
tensor(0.1477, device='cuda:0')
tensor(0.2779, device='cuda:0')
tensor(0.3181, device='cuda:0')
tensor(0.4798, device='cuda:0')
tensor(0.4670, device='cuda:0')
tensor(0.0890, device='cuda:0')
tensor(0.1311, device='cuda:0')
tensor(0.1457, device='cuda:0')
tensor(0.3240, device='cuda:0')
tensor(0.5026, device='cuda:0')
tensor(0.0503, device='cuda:0')
tensor(0.1615, device='cuda:0')
tensor(0.4266, device='cuda:0')
tensor(0.3102, device='cuda:0')
tensor(0.0728, device='cuda:0')
tensor(0.0461, device='cuda:0')
tensor(0.0690, device='cuda:0')
tensor(0.0385, device='cuda:0')
tensor(0.2036, device='cuda:0')
tensor(0.0811, device='cuda:0')
tensor(0.3696, device='cuda:0')
tensor(0.2999, device='cuda:0')
tensor(0.0274, device='cuda:0')
tensor(0.0570, device='cuda:0')
tensor(0.1219, device='cuda:0')
tensor(0.4120, device='cuda:0')
tensor(0.3349, device='cuda:0')
tensor(0.0242, device='cuda:0')
tensor(0.0028, device='cuda:0')
tensor(0.0640, device='cuda:0')
tensor(0.1690, device='cuda:0')
tensor(0.0829, device='cuda:0')
tensor(0.2956, device='cuda:0')
tensor(0.0514, device='cuda:0')
tensor(0.1217, device='cuda:0')
tensor(0.0064, device='cuda:0')
tensor(0.0081, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.2724, device='cuda:0')
tensor(0.0227, device='cuda:0')
tensor(0.5635, device='cuda:0')
tensor(0.2309, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.0191, device='cuda:0')
tensor(0.0637, device='cuda:0')
tensor(0.0739, device='cuda:0')
tensor(0.0295, device='cuda:0')
tensor(0.2818, device='cuda:0')
tensor(0.0395, device='cuda:0')
tensor(0.3980, device='cuda:0')
tensor(0.1168, device='cuda:0')
tensor(0.1861, device='cuda:0')
tensor(0.0812, device='cuda:0')
tensor(0.0887, device='cuda:0')
tensor(0.1717, device='cuda:0')
tensor(0.0095, device='cuda:0')
tensor(0.1201, device='cuda:0')
tensor(0.1179, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.1021, device='cuda:0')
tensor(0.0006, device='cuda:0')
tensor(0.0684, device='cuda:0')
tensor(0.0174, device='cuda:0')
tensor(0.1629, device='cuda:0')
tensor(0.0286, device='cuda:0')
tensor(0.6577, device='cuda:0')
tensor(0.0068, device='cuda:0')
tensor(0.2081, device='cuda:0')
tensor(0.9020, device='cuda:0')
tensor(0.0733, device='cuda:0')
tensor(0.1774, device='cuda:0')
tensor(0.1285, device='cuda:0')
tensor(0.0012, device='cuda:0')
tensor(0.2925, device='cuda:0')
tensor(0.1349, device='cuda:0')
tensor(0.1736, device='cuda:0')
tensor(0.0139, device='cuda:0')
tensor(0.0144, device='cuda:0')
tensor(0.2767, device='cuda:0')
tensor(0.0941, device='cuda:0')
tensor(0.2789, device='cuda:0')
tensor(0.0048, device='cuda:0')
tensor(0.1116, device='cuda:0')
tensor(0.2259, device='cuda:0')
tensor(0.1803, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1429, device='cuda:0')
tensor(0.0093, device='cuda:0')
tensor(0.0075, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.0692, device='cuda:0')
tensor(0.1424, device='cuda:0')
tensor(0.0471, device='cuda:0')
tensor(0.2437, device='cuda:0')
tensor(0.0771, device='cuda:0')
tensor(0.0336, device='cuda:0')
tensor(0.0655, device='cuda:0')
tensor(0.0566, device='cuda:0')
tensor(0.6516, device='cuda:0')
tensor(0.0062, device='cuda:0')
tensor(0.1046, device='cuda:0')
tensor(0.1962, device='cuda:0')
tensor(0.2157, device='cuda:0')
tensor(0.1240, device='cuda:0')
tensor(0.0008, device='cuda:0')
tensor(0.1663, device='cuda:0')
tensor(0.4699, device='cuda:0')
tensor(0.0511, device='cuda:0')
tensor(0.2008, device='cuda:0')
tensor(0.0645, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.4699, device='cuda:0')
tensor(0.3710, device='cuda:0')
tensor(0.0991, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.0778, device='cuda:0')
tensor(0.0101, device='cuda:0')
tensor(0.2155, device='cuda:0')
tensor(0.0312, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.0031, device='cuda:0')
tensor(0.0292, device='cuda:0')
tensor(0.0024, device='cuda:0')
tensor(0.0174, device='cuda:0')
tensor(0.1305, device='cuda:0')
tensor(0.2488, device='cuda:0')
tensor(0.0900, device='cuda:0')
tensor(0.0980, device='cuda:0')
tensor(0.1155, device='cuda:0')
tensor(0.0418, device='cuda:0')
tensor(0.1724, device='cuda:0')
tensor(0.0414, device='cuda:0')
tensor(0.0625, device='cuda:0')
tensor(0.0023, device='cuda:0')
tensor(0.0052, device='cuda:0')
tensor(0.0342, device='cuda:0')
tensor(0.3252, device='cuda:0')
tensor(0.0158, device='cuda:0')
tensor(0.0725, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.0921, device='cuda:0')
tensor(0.5491, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.0053, device='cuda:0')
tensor(0.0134, device='cuda:0')
tensor(0.0117, device='cuda:0')
tensor(0.0013, device='cuda:0')
tensor(0.1482, device='cuda:0')
tensor(0.2954, device='cuda:0')
tensor(0.0008, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.0447, device='cuda:0')
tensor(0.0160, device='cuda:0')
tensor(0.1516, device='cuda:0')
tensor(0.0037, device='cuda:0')
tensor(0.0242, device='cuda:0')
tensor(0.0101, device='cuda:0')
tensor(0.0530, device='cuda:0')
tensor(0.2677, device='cuda:0')
tensor(0.0619, device='cuda:0')
tensor(0.0758, device='cuda:0')
tensor(0.0917, device='cuda:0')
tensor(0.0025, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.1757, device='cuda:0')
tensor(0.0083, device='cuda:0')
tensor(0.1003, device='cuda:0')
tensor(0.0223, device='cuda:0')
tensor(0.0663, device='cuda:0')
tensor(0.0605, device='cuda:0')
tensor(0.1407, device='cuda:0')
tensor(0.0078, device='cuda:0')
tensor(0.0033, device='cuda:0')
tensor(0.2482, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.0462, device='cuda:0')
tensor(0.0053, device='cuda:0')
tensor(0.0453, device='cuda:0')
tensor(0.0020, device='cuda:0')
tensor(0.0270, device='cuda:0')
tensor(0.0141, device='cuda:0')
tensor(0.0450, device='cuda:0')
tensor(0.0841, device='cuda:0')
tensor(0.1114, device='cuda:0')
tensor(0.0238, device='cuda:0')
tensor(0.0462, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.2441, device='cuda:0')
tensor(0.0502, device='cuda:0')
tensor(0.1227, device='cuda:0')
tensor(0.1667, device='cuda:0')
tensor(0.0037, device='cuda:0')
tensor(0.0291, device='cuda:0')
tensor(0.4722, device='cuda:0')
tensor(0.4951, device='cuda:0')
tensor(0.2079, device='cuda:0')
tensor(0.3771, device='cuda:0')
tensor(0.1082, device='cuda:0')
tensor(0.0323, device='cuda:0')
tensor(0.0686, device='cuda:0')
tensor(0.0013, device='cuda:0')
tensor(0.2181, device='cuda:0')
tensor(0.6125, device='cuda:0')
tensor(0.4810, device='cuda:0')
tensor(0.0188, device='cuda:0')
tensor(0.1220, device='cuda:0')
tensor(0.0945, device='cuda:0')
tensor(0.0157, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0011, device='cuda:0')
tensor(1.1981, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.3355, device='cuda:0')
tensor(0.1574, device='cuda:0')
tensor(0.3777, device='cuda:0')
tensor(0.1260, device='cuda:0')
tensor(0.1481, device='cuda:0')
tensor(0.0195, device='cuda:0')
tensor(0.2069, device='cuda:0')
tensor(0.4006, device='cuda:0')
tensor(0.1245, device='cuda:0')
tensor(0.0171, device='cuda:0')
tensor(0.0377, device='cuda:0')
tensor(0.0117, device='cuda:0')
tensor(0.0704, device='cuda:0')
tensor(0.0605, device='cuda:0')
tensor(0.2622, device='cuda:0')
tensor(0.0170, device='cuda:0')
tensor(0.0511, device='cuda:0')
tensor(0.0836, device='cuda:0')
tensor(0.1327, device='cuda:0')
tensor(0.0509, device='cuda:0')
tensor(0.1207, device='cuda:0')
tensor(0.2709, device='cuda:0')
tensor(0.1693, device='cuda:0')
tensor(0.2983, device='cuda:0')
tensor(0.3489, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.0146, device='cuda:0')
tensor(0.0128, device='cuda:0')
tensor(0.3458, device='cuda:0')
tensor(0.2232, device='cuda:0')
tensor(0.0010, device='cuda:0')
tensor(0.0871, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.0055, device='cuda:0')
tensor(0.0133, device='cuda:0')
tensor(0.0747, device='cuda:0')
tensor(0.0600, device='cuda:0')
tensor(0.1164, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.2800, device='cuda:0')
tensor(0.0660, device='cuda:0')
tensor(0.3783, device='cuda:0')
tensor(0.0079, device='cuda:0')
tensor(0.1284, device='cuda:0')
tensor(0.0766, device='cuda:0')
tensor(0.1298, device='cuda:0')
tensor(0.0410, device='cuda:0')
tensor(0.2100, device='cuda:0')
tensor(0.0575, device='cuda:0')
tensor(0.0078, device='cuda:0')
tensor(0.1027, device='cuda:0')
tensor(0.0289, device='cuda:0')
tensor(0.0042, device='cuda:0')
tensor(0.0615, device='cuda:0')
tensor(0.4517, device='cuda:0')
tensor(0.0072, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.0906, device='cuda:0')
tensor(0.0034, device='cuda:0')
tensor(0.1947, device='cuda:0')
tensor(0.1956, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.0222, device='cuda:0')
tensor(0.0052, device='cuda:0')
tensor(0.2719, device='cuda:0')
tensor(0.0497, device='cuda:0')
tensor(0.1919, device='cuda:0')
tensor(0.0170, device='cuda:0')
tensor(0.3285, device='cuda:0')
tensor(0.2897, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.8644, device='cuda:0')
tensor(0.0047, device='cuda:0')
tensor(0.2711, device='cuda:0')
tensor(0.1660, device='cuda:0')
tensor(0.0810, device='cuda:0')
tensor(0.0625, device='cuda:0')
tensor(0.0943, device='cuda:0')
tensor(0.1214, device='cuda:0')
tensor(0.1527, device='cuda:0')
tensor(0.2658, device='cuda:0')
tensor(0.2742, device='cuda:0')
tensor(0.2205, device='cuda:0')
tensor(0.1701, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.2803, device='cuda:0')
tensor(0.0973, device='cuda:0')
tensor(0.1778, device='cuda:0')
tensor(0.6587, device='cuda:0')
tensor(0.0585, device='cuda:0')
tensor(0.0351, device='cuda:0')
tensor(0.0429, device='cuda:0')
tensor(0.0672, device='cuda:0')
tensor(0.0317, device='cuda:0')
tensor(0.0502, device='cuda:0')
tensor(0.0061, device='cuda:0')
tensor(0.1224, device='cuda:0')
tensor(0.0120, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.4137, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.3088, device='cuda:0')
tensor(0.0500, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.1516, device='cuda:0')
tensor(0.0154, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.2526, device='cuda:0')
tensor(0.1089, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.0446, device='cuda:0')
tensor(0.2924, device='cuda:0')
tensor(0.1193, device='cuda:0')
tensor(0.0487, device='cuda:0')
tensor(0.0553, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.1120, device='cuda:0')
