tensor(2.6927, device='cuda:0')
tensor(1.1697, device='cuda:0')
tensor(1.1054, device='cuda:0')
tensor(1.1041, device='cuda:0')
tensor(1.0916, device='cuda:0')
tensor(1.0826, device='cuda:0')
tensor(1.0466, device='cuda:0')
tensor(1.0238, device='cuda:0')
tensor(0.9704, device='cuda:0')
tensor(0.9809, device='cuda:0')
tensor(0.9725, device='cuda:0')
tensor(0.9769, device='cuda:0')
tensor(0.9385, device='cuda:0')
tensor(0.9262, device='cuda:0')
tensor(0.8853, device='cuda:0')
tensor(0.8836, device='cuda:0')
tensor(0.8595, device='cuda:0')
tensor(0.8654, device='cuda:0')
tensor(0.8581, device='cuda:0')
tensor(0.8319, device='cuda:0')
tensor(0.8098, device='cuda:0')
tensor(0.7833, device='cuda:0')
tensor(0.7738, device='cuda:0')
tensor(0.7731, device='cuda:0')
tensor(0.7354, device='cuda:0')
tensor(0.7195, device='cuda:0')
tensor(0.7079, device='cuda:0')
tensor(0.6988, device='cuda:0')
tensor(0.6373, device='cuda:0')
tensor(0.6429, device='cuda:0')
tensor(0.6268, device='cuda:0')
tensor(0.6334, device='cuda:0')
tensor(0.5948, device='cuda:0')
tensor(0.5722, device='cuda:0')
tensor(0.6027, device='cuda:0')
tensor(0.5718, device='cuda:0')
tensor(0.5651, device='cuda:0')
tensor(0.5284, device='cuda:0')
tensor(0.5401, device='cuda:0')
tensor(0.5445, device='cuda:0')
tensor(0.5117, device='cuda:0')
tensor(0.5116, device='cuda:0')
tensor(0.4864, device='cuda:0')
tensor(0.4766, device='cuda:0')
tensor(0.4750, device='cuda:0')
tensor(0.4986, device='cuda:0')
tensor(0.4542, device='cuda:0')
tensor(0.4664, device='cuda:0')
tensor(0.4667, device='cuda:0')
tensor(0.4664, device='cuda:0')
tensor(0.4314, device='cuda:0')
tensor(0.4174, device='cuda:0')
tensor(0.4500, device='cuda:0')
tensor(0.4223, device='cuda:0')
tensor(0.4159, device='cuda:0')
tensor(0.4103, device='cuda:0')
tensor(0.4112, device='cuda:0')
tensor(0.4198, device='cuda:0')
tensor(0.4276, device='cuda:0')
tensor(0.4020, device='cuda:0')
tensor(0.3902, device='cuda:0')
tensor(0.3938, device='cuda:0')
tensor(0.3741, device='cuda:0')
tensor(0.3672, device='cuda:0')
tensor(0.3741, device='cuda:0')
tensor(0.4005, device='cuda:0')
tensor(0.3634, device='cuda:0')
tensor(0.3896, device='cuda:0')
tensor(0.3733, device='cuda:0')
tensor(0.3635, device='cuda:0')
tensor(0.3607, device='cuda:0')
tensor(0.3412, device='cuda:0')
tensor(0.3717, device='cuda:0')
tensor(0.3534, device='cuda:0')
tensor(0.3339, device='cuda:0')
tensor(0.3475, device='cuda:0')
tensor(0.3516, device='cuda:0')
tensor(0.3248, device='cuda:0')
tensor(0.3373, device='cuda:0')
tensor(0.3371, device='cuda:0')
tensor(0.3315, device='cuda:0')
tensor(0.3335, device='cuda:0')
tensor(0.3390, device='cuda:0')
tensor(0.3245, device='cuda:0')
tensor(0.3048, device='cuda:0')
tensor(0.3095, device='cuda:0')
tensor(0.3111, device='cuda:0')
tensor(0.2994, device='cuda:0')
tensor(0.3174, device='cuda:0')
tensor(0.3258, device='cuda:0')
tensor(0.3192, device='cuda:0')
tensor(0.2943, device='cuda:0')
tensor(0.3115, device='cuda:0')
tensor(0.2999, device='cuda:0')
tensor(0.2960, device='cuda:0')
tensor(0.3230, device='cuda:0')
tensor(0.2901, device='cuda:0')
tensor(0.2920, device='cuda:0')
tensor(0.2835, device='cuda:0')
tensor(0.3025, device='cuda:0')
tensor(0.2968, device='cuda:0')
tensor(0.2950, device='cuda:0')
tensor(0.2804, device='cuda:0')
tensor(0.2962, device='cuda:0')
tensor(0.2922, device='cuda:0')
tensor(0.3043, device='cuda:0')
tensor(0.2980, device='cuda:0')
tensor(0.2596, device='cuda:0')
tensor(0.2889, device='cuda:0')
tensor(0.2971, device='cuda:0')
tensor(0.2750, device='cuda:0')
tensor(0.2772, device='cuda:0')
tensor(0.2730, device='cuda:0')
tensor(0.2748, device='cuda:0')
tensor(0.2592, device='cuda:0')
tensor(0.2574, device='cuda:0')
tensor(0.2869, device='cuda:0')
tensor(0.2586, device='cuda:0')
tensor(0.2643, device='cuda:0')
tensor(0.2722, device='cuda:0')
tensor(0.2592, device='cuda:0')
tensor(0.2924, device='cuda:0')
tensor(0.2450, device='cuda:0')
tensor(0.2436, device='cuda:0')
tensor(0.2599, device='cuda:0')
tensor(0.2658, device='cuda:0')
tensor(0.2712, device='cuda:0')
tensor(0.2555, device='cuda:0')
tensor(0.2631, device='cuda:0')
tensor(0.2477, device='cuda:0')
tensor(0.2936, device='cuda:0')
tensor(0.2577, device='cuda:0')
tensor(0.2710, device='cuda:0')
tensor(0.2396, device='cuda:0')
tensor(0.2594, device='cuda:0')
tensor(0.2485, device='cuda:0')
tensor(0.2542, device='cuda:0')
tensor(0.2281, device='cuda:0')
tensor(0.2403, device='cuda:0')
tensor(0.2466, device='cuda:0')
tensor(0.2639, device='cuda:0')
tensor(0.2534, device='cuda:0')
tensor(0.2515, device='cuda:0')
tensor(0.2537, device='cuda:0')
tensor(0.2534, device='cuda:0')
tensor(0.2431, device='cuda:0')
tensor(0.2234, device='cuda:0')
tensor(0.2290, device='cuda:0')
tensor(0.2302, device='cuda:0')
tensor(0.2408, device='cuda:0')
tensor(0.2485, device='cuda:0')
tensor(0.2386, device='cuda:0')
tensor(0.2219, device='cuda:0')
tensor(0.2364, device='cuda:0')
tensor(0.2299, device='cuda:0')
tensor(0.2284, device='cuda:0')
tensor(0.2304, device='cuda:0')
tensor(0.2340, device='cuda:0')
tensor(0.2293, device='cuda:0')
tensor(0.2401, device='cuda:0')
tensor(0.2221, device='cuda:0')
tensor(0.2440, device='cuda:0')
tensor(0.2154, device='cuda:0')
tensor(0.2224, device='cuda:0')
tensor(0.2392, device='cuda:0')
tensor(0.2341, device='cuda:0')
tensor(0.2243, device='cuda:0')
tensor(0.2225, device='cuda:0')
tensor(0.2227, device='cuda:0')
tensor(0.2168, device='cuda:0')
tensor(0.2315, device='cuda:0')
tensor(0.2267, device='cuda:0')
tensor(0.2010, device='cuda:0')
tensor(0.2164, device='cuda:0')
tensor(0.2222, device='cuda:0')
tensor(0.2255, device='cuda:0')
tensor(0.2203, device='cuda:0')
tensor(0.2066, device='cuda:0')
tensor(0.2082, device='cuda:0')
tensor(0.2085, device='cuda:0')
tensor(0.2097, device='cuda:0')
tensor(0.2125, device='cuda:0')
tensor(0.2050, device='cuda:0')
tensor(0.2127, device='cuda:0')
tensor(0.1945, device='cuda:0')
tensor(0.1897, device='cuda:0')
tensor(0.1986, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1630, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1943, device='cuda:0')
tensor(0.1623, device='cuda:0')
tensor(0.1827, device='cuda:0')
tensor(0.1747, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1592, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1743, device='cuda:0')
tensor(0.1548, device='cuda:0')
tensor(0.1636, device='cuda:0')
tensor(0.1634, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.1430, device='cuda:0')
tensor(0.1626, device='cuda:0')
tensor(0.1445, device='cuda:0')
tensor(0.1687, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1493, device='cuda:0')
tensor(0.1726, device='cuda:0')
tensor(0.1615, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.1470, device='cuda:0')
tensor(0.1487, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.1496, device='cuda:0')
